Mod:Item:MetaData, Localized Name
minecraft:red_flower:6, Белый тюльпан
minecraft:red_flower:7, Розовый тюльпан
minecraft:red_flower:8, Ромашка
minecraft:brown_mushroom, Гриб
minecraft:red_mushroom, Гриб
minecraft:gold_block, Золотой блок
minecraft:iron_block, Железный блок
minecraft:stone_slab:0, Каменная плита
minecraft:stone_slab:1, Песчаниковая плита
minecraft:stone_slab:3, Булыжная плита
minecraft:stone_slab:4, Кирпичная плита
minecraft:stone_slab:5, Плита из каменных кирпичей
minecraft:stone_slab:6, Незеритовая плита
minecraft:stone_slab:7, Кварцевая плита
minecraft:brick_block, Кирпичи
minecraft:tnt, Динамит
minecraft:bookshelf, Книжная полка
minecraft:mossy_cobblestone, Замшелый булыжник
minecraft:obsidian, Обсидиан
minecraft:torch, Факел
minecraft:mob_spawner, Рассадник монстров
minecraft:oak_stairs, Дубовые ступеньки
minecraft:chest, Сундук
minecraft:diamond_ore, Алмазная руда
minecraft:diamond_block, Алмазный блок
minecraft:crafting_table, Верстак
minecraft:farmland, Пашня
minecraft:furnace, Печь
minecraft:ladder, Лестница
minecraft:rail, Рельсы
minecraft:stone_stairs, Булыжные ступеньки
minecraft:lever, Рычаг
minecraft:stone_pressure_plate, Каменная нажимная плита
minecraft:wooden_pressure_plate, Деревянная нажимная плита
minecraft:redstone_ore, Редстоуновая руда
minecraft:redstone_torch, Редстоуновый факел
minecraft:stone_button, Кнопка
minecraft:snow_layer, Снег
minecraft:ice, Лёд
minecraft:snow, Снег
minecraft:cactus, Кактус
minecraft:clay, Глина
minecraft:jukebox, Проигрыватель
minecraft:fence, Дубовый забор
minecraft:pumpkin, Тыква
minecraft:netherrack, Незерит
minecraft:soul_sand, Песок душ
minecraft:glowstone, Светокамень
minecraft:lit_pumpkin, Светильник Джека
minecraft:stained_glass:0, Белое стекло
minecraft:stained_glass:1, Оранжевое стекло
minecraft:stained_glass:2, Пурпурное стекло
minecraft:stained_glass:3, Голубое стекло
minecraft:stained_glass:4, Жёлтое стекло
minecraft:stained_glass:5, Лаймовое стекло
minecraft:stained_glass:6, Розовое стекло
minecraft:stained_glass:7, Серое стекло
minecraft:stained_glass:8, Светло-серое стекло
minecraft:stained_glass:9, Бирюзовое стекло
minecraft:stained_glass:10, Фиолетовое стекло
minecraft:stained_glass:11, Синее стекло
minecraft:stained_glass:12, Коричневое стекло
minecraft:stained_glass:13, Зелёное стекло
minecraft:stained_glass:14, Красное стекло
minecraft:stained_glass:15, Чёрное стекло
minecraft:trapdoor, Люк
minecraft:monster_egg:0, Камень с монстрами
minecraft:monster_egg:1, Булыжник с монстрами
minecraft:monster_egg:2, Каменный кирпич с монстрами
minecraft:monster_egg:3, Замшелый каменный кирпич с монстрами
minecraft:monster_egg:4, Потрескавшийся каменный кирпич с монстрами
minecraft:monster_egg:5, Резной каменный кирпич с монстрами
minecraft:stonebrick:0, Каменные кирпичи
minecraft:stonebrick:1, Замшелые каменные кирпичи
minecraft:stonebrick:2, Потрескавшиеся каменные кирпичи
minecraft:stonebrick:3, Резные каменные кирпичи
minecraft:brown_mushroom_block, Гриб
minecraft:red_mushroom_block, Гриб
minecraft:iron_bars, Железные прутья
minecraft:glass_pane, Стеклянная панель
minecraft:melon_block, Арбуз
minecraft:vine, Лианы
minecraft:fence_gate, Дубовая калитка
minecraft:brick_stairs, Кирпичные ступеньки
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича
minecraft:mycelium, Мицелий
minecraft:waterlily, Кувшинка
minecraft:nether_brick, Незеритовые кирпичи
minecraft:nether_brick_fence, Незеритовый забор
minecraft:nether_brick_stairs, Незеритовые ступеньки
minecraft:enchanting_table, Чародейский стол
minecraft:end_portal_frame, Портал в Энд
minecraft:end_stone, Эндерняк
minecraft:dragon_egg, Яйцо дракона
minecraft:redstone_lamp, Редстоуновый фонарь
minecraft:wooden_slab:0, Дубовая плита
minecraft:wooden_slab:1, Еловая плита
minecraft:wooden_slab:2, Берёзовая плита
minecraft:wooden_slab:3, Плита из тропического дерева
minecraft:wooden_slab:4, Акациевая плита
minecraft:wooden_slab:5, Плита из тёмного дуба
minecraft:sandstone_stairs, Песчаниковые ступеньки
minecraft:emerald_ore, Изумрудная руда
minecraft:ender_chest, Эндер-сундук
minecraft:tripwire_hook, Крюк
minecraft:emerald_block, Изумрудный блок
minecraft:spruce_stairs, Еловые ступеньки
minecraft:birch_stairs, Берёзовые ступеньки
minecraft:jungle_stairs, Ступеньки из тропического дерева
minecraft:command_block, Командный блок
minecraft:beacon, Маяк
minecraft:cobblestone_wall:0, Булыжная ограда
minecraft:cobblestone_wall:1, Замшелая булыжная ограда
minecraft:wooden_button, Кнопка
minecraft:anvil:0, Наковальня
minecraft:anvil:1, Повреждённая наковальня
minecraft:anvil:2, Сильно повреждённая наковальня
minecraft:trapped_chest, Сундук-ловушка
minecraft:light_weighted_pressure_plate, Весовая пластина
minecraft:heavy_weighted_pressure_plate, Большегрузная весовая пластина
minecraft:daylight_detector, Датчик дневного света
minecraft:redstone_block, Редстоуновый блок
minecraft:quartz_ore, Незер-кварцевая руда
minecraft:hopper, Воронка
minecraft:quartz_block:0, Кварцевый блок
minecraft:quartz_block:1, Резной кварцевый блок
minecraft:quartz_block:2, Кварцевая колонна
minecraft:quartz_stairs, Кварцевые ступеньки
minecraft:activator_rail, Активирующие рельсы
minecraft:dropper, Выбрасыватель
minecraft:stained_hardened_clay:0, Белая керамика
minecraft:stained_hardened_clay:1, Оранжевая керамика
minecraft:stained_hardened_clay:2, Пурпурная керамика
minecraft:stained_hardened_clay:3, Голубая керамика
minecraft:stained_hardened_clay:4, Жёлтая керамика
minecraft:stained_hardened_clay:5, Лаймовая керамика
minecraft:stained_hardened_clay:6, Розовая керамика
minecraft:stained_hardened_clay:7, Серая керамика
minecraft:stained_hardened_clay:8, Светло-серая керамика
minecraft:stained_hardened_clay:9, Бирюзовая керамика
minecraft:stained_hardened_clay:10, Фиолетовая керамика
minecraft:stained_hardened_clay:11, Синяя керамика
minecraft:stained_hardened_clay:12, Коричневая керамика
minecraft:stained_hardened_clay:13, Зелёная керамика
minecraft:stained_hardened_clay:14, Красная керамика
minecraft:stained_hardened_clay:15, Чёрная керамика
minecraft:stained_glass_pane:0, Белая стеклянная панель
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель
minecraft:stained_glass_pane:3, Голубая стеклянная панель
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель
minecraft:stained_glass_pane:6, Розовая стеклянная панель
minecraft:stained_glass_pane:7, Серая стеклянная панель
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель
minecraft:stained_glass_pane:11, Синяя стеклянная панель
minecraft:stained_glass_pane:12, Коричневая стеклянная панель
minecraft:stained_glass_pane:13, Зелёная стеклянная панель
minecraft:stained_glass_pane:14, Красная стеклянная панель
minecraft:stained_glass_pane:15, Чёрная стеклянная панель
minecraft:leaves2:0, Листья акации
minecraft:leaves2:1, Листья тёмного дуба
minecraft:log2:0, Акация
minecraft:log2:1, Тёмный дуб
minecraft:acacia_stairs, Акациевые ступеньки
minecraft:dark_oak_stairs, Ступеньки из тёмного дуба
minecraft:slime, Блок слизи
minecraft:barrier, Охраняющая аура
minecraft:iron_trapdoor, Железный люк
minecraft:prismarine:0, Призмарин
minecraft:prismarine:1, Призмариновые кирпичи
minecraft:prismarine:2, Тёмный призмарин
minecraft:sea_lantern, Морской фонарь
minecraft:hay_block, Сноп сена
minecraft:carpet:0, Белый ковёр
minecraft:carpet:1, Оранжевый ковёр
minecraft:carpet:2, Пурпурный ковёр
minecraft:carpet:3, Голубой ковёр
minecraft:carpet:4, Жёлтый ковёр
minecraft:carpet:5, Лаймовый ковёр
minecraft:carpet:6, Розовый ковёр
minecraft:carpet:7, Серый ковёр
minecraft:carpet:8, Светло-серый ковёр
minecraft:carpet:9, Бирюзовый ковёр
minecraft:carpet:10, Фиолетовый ковёр
minecraft:carpet:11, Синий ковёр
minecraft:carpet:12, Коричневый ковёр
minecraft:carpet:13, Зелёный ковёр
minecraft:carpet:14, Красный ковёр
minecraft:carpet:15, Чёрный ковёр
minecraft:hardened_clay, Терракота
minecraft:coal_block, Угольный блок
minecraft:packed_ice, Плотный лёд
minecraft:double_plant:0, Подсолнух
minecraft:double_plant:1, Сирень
minecraft:double_plant:2, Высокая трава
minecraft:double_plant:3, Раскидистый папоротник
minecraft:double_plant:4, Розовый куст
minecraft:double_plant:5, Пион
minecraft:red_sandstone:0, Красный песчаник
minecraft:red_sandstone:1, Резной красный песчаник
minecraft:red_sandstone:2, Гладкий красный песчаник
minecraft:red_sandstone_stairs, Ступеньки из красного песчаника
minecraft:stone_slab2:0, Плита из красного песчаника
minecraft:spruce_fence_gate, Еловая калитка
minecraft:birch_fence_gate, Берёзовая калитка
minecraft:jungle_fence_gate, Калитка из тропического дерева
minecraft:dark_oak_fence_gate, Калитка из тёмного дуба
minecraft:acacia_fence_gate, Акациевая калитка
minecraft:spruce_fence, Еловый забор
minecraft:birch_fence, Берёзовый забор
minecraft:jungle_fence, Забор из тропического дерева
minecraft:dark_oak_fence, Забор из тёмного дуба
minecraft:acacia_fence, Акациевый забор
minecraft:end_rod, Стержень Энда
minecraft:chorus_plant, Хорус
minecraft:chorus_flower, Цветок хоруса
minecraft:purpur_block, Пурпур
minecraft:purpur_pillar, Пурпуровый пилон
minecraft:purpur_stairs, Пурпуровые ступеньки
minecraft:purpur_slab:0, Пурпуровая плита
minecraft:end_bricks, Эндерняковые кирпичи
minecraft:grass_path, Тропа
minecraft:repeating_command_block, Повторяющий командный блок
minecraft:chain_command_block, Последовательный командный блок
minecraft:magma, Магма
minecraft:nether_wart_block, Блок нароста из Незера
minecraft:red_nether_brick, Красный незеритовый кирпич
minecraft:bone_block, Костный блок
minecraft:structure_void, Пустой блок
minecraft:observer, Наблюдатель
minecraft:white_shulker_box, Белый шалкеровый ящик
minecraft:orange_shulker_box, Оранжевый шалкеровый ящик
minecraft:magenta_shulker_box, Пурпурный шалкеровый ящик
minecraft:light_blue_shulker_box, Голубой шалкеровый ящик
minecraft:yellow_shulker_box, Жёлтый шалкеровый ящик
minecraft:lime_shulker_box, Лаймовый шалкеровый ящик
minecraft:pink_shulker_box, Розовый шалкеровый ящик
minecraft:gray_shulker_box, Серый шалкеровый ящик
minecraft:silver_shulker_box, Светло-серый шалкеровый ящик
minecraft:cyan_shulker_box, Бирюзовый шалкеровый ящик
minecraft:purple_shulker_box, Фиолетовый шалкеровый ящик
minecraft:blue_shulker_box, Синий шалкеровый ящик
minecraft:brown_shulker_box, Коричневый шалкеровый ящик
minecraft:green_shulker_box, Зелёный шалкеровый ящик
minecraft:red_shulker_box, Красный шалкеровый ящик
minecraft:black_shulker_box, Чёрный шалкеровый ящик
minecraft:white_glazed_terracotta, Белая глазурованная керамика
minecraft:orange_glazed_terracotta, Оранжевая глазурованная керамика
minecraft:magenta_glazed_terracotta, Пурпурная глазурованная керамика
minecraft:light_blue_glazed_terracotta, Голубая глазурованная керамика
minecraft:yellow_glazed_terracotta, Жёлтая глазурованная керамика
minecraft:lime_glazed_terracotta, Лаймовая глазурованная керамика
minecraft:pink_glazed_terracotta, Розовая глазурованная керамика
minecraft:gray_glazed_terracotta, Серая глазурованная керамика
minecraft:silver_glazed_terracotta, Светло-серая глазурованная керамика
minecraft:cyan_glazed_terracotta, Бирюзовая глазурованная керамика
minecraft:purple_glazed_terracotta, Фиолетовая глазурованная керамика
minecraft:blue_glazed_terracotta, Синяя глазурованная керамика
minecraft:brown_glazed_terracotta, Коричневая глазурованная керамика
minecraft:green_glazed_terracotta, Зелёная глазурованная керамика
minecraft:red_glazed_terracotta, Красная глазурованная керамика
minecraft:black_glazed_terracotta, Чёрная глазурованная керамика
minecraft:concrete:0, Белый бетон
minecraft:concrete:1, Оранжевый бетон
minecraft:concrete:2, Пурпурный бетон
minecraft:concrete:3, Голубой бетон
minecraft:concrete:4, Жёлтый бетон
minecraft:concrete:5, Лаймовый бетон
minecraft:concrete:6, Розовый бетон
minecraft:concrete:7, Серый бетон
minecraft:concrete:8, Светло-серый бетон
minecraft:concrete:9, Бирюзовый бетон
minecraft:concrete:10, Фиолетовый бетон
minecraft:concrete:11, Синий бетон
minecraft:concrete:12, Коричневый бетон
minecraft:concrete:13, Зелёный бетон
minecraft:concrete:14, Красный бетон
minecraft:concrete:15, Чёрный бетон
minecraft:concrete_powder:0, Белый цемент
minecraft:concrete_powder:1, Оранжевый цемент
minecraft:concrete_powder:2, Пурпурный цемент
minecraft:concrete_powder:3, Голубой цемент
minecraft:concrete_powder:4, Жёлтый цемент
minecraft:concrete_powder:5, Лаймовый цемент
minecraft:concrete_powder:6, Розовый цемент
minecraft:concrete_powder:7, Серый цемент
minecraft:concrete_powder:8, Светло-серый цемент
minecraft:concrete_powder:9, Бирюзовый цемент
minecraft:concrete_powder:10, Фиолетовый цемент
minecraft:concrete_powder:11, Синий цемент
minecraft:concrete_powder:12, Коричневый цемент
minecraft:concrete_powder:13, Зелёный цемент
minecraft:concrete_powder:14, Красный цемент
minecraft:concrete_powder:15, Чёрный цемент
minecraft:structure_block, Блок-конструктор
minecraft:iron_shovel, Железная лопата
minecraft:iron_pickaxe, Железная кирка
minecraft:iron_axe, Железный топор
minecraft:flint_and_steel, Огниво
minecraft:apple, Яблоко
minecraft:bow, Лук
minecraft:arrow, Стрела
minecraft:coal:0, Уголь
minecraft:coal:1, Древесный уголь
minecraft:diamond, Алмаз
minecraft:iron_ingot, Железный слиток
minecraft:gold_ingot, Золотой слиток
minecraft:iron_sword, Железный меч
minecraft:wooden_sword, Деревянный меч
minecraft:wooden_shovel, Деревянная лопата
minecraft:wooden_pickaxe, Деревянная кирка
minecraft:wooden_axe, Деревянный топор
minecraft:stone_sword, Каменный меч
minecraft:stone_shovel, Каменная лопата
minecraft:stone_pickaxe, Каменная кирка
minecraft:stone_axe, Каменный топор
minecraft:diamond_sword, Алмазный меч
minecraft:diamond_shovel, Алмазная лопата
minecraft:diamond_pickaxe, Алмазная кирка
minecraft:diamond_axe, Алмазный топор
minecraft:stick, Палка
minecraft:bowl, Миска
minecraft:mushroom_stew, Тушёные грибы
minecraft:golden_sword, Золотой меч
minecraft:golden_shovel, Золотая лопата
minecraft:golden_pickaxe, Золотая кирка
minecraft:golden_axe, Золотой топор
minecraft:string, Нить
minecraft:feather, Перо
minecraft:gunpowder, Порох
minecraft:wooden_hoe, Деревянная мотыга
minecraft:stone_hoe, Каменная мотыга
minecraft:iron_hoe, Железная мотыга
minecraft:diamond_hoe, Алмазная мотыга
minecraft:golden_hoe, Золотая мотыга
minecraft:wheat_seeds, Семена пшеницы
minecraft:wheat, Пшеница
minecraft:bread, Хлеб
minecraft:leather_helmet, Кожаный шлем
minecraft:leather_chestplate, Кожаная куртка
minecraft:leather_leggings, Кожаные штаны
minecraft:leather_boots, Кожаные ботинки
minecraft:chainmail_helmet, Койф
minecraft:chainmail_chestplate, Кольчуга
minecraft:chainmail_leggings, Кольчужные поножи
minecraft:chainmail_boots, Кольчужные ботинки
minecraft:iron_helmet, Железный шлем
minecraft:iron_chestplate, Железный нагрудник
minecraft:iron_leggings, Железные поножи
minecraft:iron_boots, Железные ботинки
minecraft:diamond_helmet, Алмазный шлем
minecraft:diamond_chestplate, Алмазный нагрудник
minecraft:diamond_leggings, Алмазные поножи
minecraft:diamond_boots, Алмазные ботинки
minecraft:golden_helmet, Золотой шлем
minecraft:golden_chestplate, Золотой нагрудник
minecraft:golden_leggings, Золотые поножи
minecraft:golden_boots, Золотые ботинки
minecraft:flint, Кремень
minecraft:porkchop, Сырая свинина
minecraft:cooked_porkchop, Жареная свинина
minecraft:painting, Картина
minecraft:golden_apple:0, Золотое яблоко
minecraft:golden_apple:1, Золотое яблоко
minecraft:sign, Табличка
minecraft:wooden_door, Дубовая дверь
minecraft:bucket, Ведро
minecraft:water_bucket, Ведро воды
minecraft:lava_bucket, Ведро лавы
minecraft:minecart, Вагонетка
minecraft:saddle, Седло
minecraft:iron_door, Железная дверь
minecraft:redstone, Редстоун
minecraft:snowball, Снежок
minecraft:boat, Дубовая лодка
minecraft:leather, Кожа
minecraft:milk_bucket, Молоко
minecraft:brick, Кирпич
minecraft:clay_ball, Глина
minecraft:reeds, Сахарный тростник
minecraft:paper, Бумага
minecraft:book, Книга
minecraft:slime_ball, Сгусток слизи
minecraft:chest_minecart, Грузовая вагонетка
minecraft:furnace_minecart, Самоходная вагонетка
minecraft:egg, Яйцо
minecraft:compass, Компас
minecraft:fishing_rod, Удочка
minecraft:clock, Часы
minecraft:glowstone_dust, Светокаменная пыль
minecraft:fish:0, Сырая треска
minecraft:fish:1, Сырой лосось
minecraft:fish:2, Рыба-клоун
minecraft:fish:3, Иглобрюх
minecraft:cooked_fish:0, Жареная треска
minecraft:cooked_fish:1, Жареный лосось
minecraft:dye:0, Чернильный мешок
minecraft:dye:1, Красный краситель
minecraft:dye:2, Зелёный краситель
minecraft:dye:3, Какао-бобы
minecraft:dye:4, Лазурит
minecraft:dye:5, Фиолетовый краситель
minecraft:dye:6, Бирюзовый краситель
minecraft:dye:7, Светло-серый краситель
minecraft:dye:8, Серый краситель
minecraft:dye:9, Розовый краситель
minecraft:dye:10, Лаймовый краситель
minecraft:dye:11, Жёлтый краситель
minecraft:dye:12, Голубой краситель
minecraft:dye:13, Пурпурный краситель
minecraft:dye:14, Оранжевый краситель
minecraft:dye:15, Костная мука
minecraft:bone, Кость
minecraft:sugar, Сахар
minecraft:cake, Торт
minecraft:bed:0, Белая кровать
minecraft:bed:1, Оранжевая кровать
minecraft:bed:2, Пурпурная кровать
minecraft:bed:3, Голубая кровать
minecraft:bed:4, Жёлтая кровать
minecraft:bed:5, Лаймовая кровать
minecraft:bed:6, Розовая кровать
minecraft:bed:7, Серая кровать
minecraft:bed:8, Светло-серая кровать
minecraft:bed:9, Бирюзовая кровать
minecraft:bed:10, Фиолетовая кровать
minecraft:bed:11, Синяя кровать
minecraft:bed:12, Коричневая кровать
minecraft:bed:13, Зелёная кровать
minecraft:bed:14, Красная кровать
minecraft:bed:15, Чёрная кровать
minecraft:repeater, Редстоуновый повторитель
minecraft:cookie, Печенье
minecraft:filled_map:0, Карта
minecraft:shears, Ножницы
minecraft:melon, Арбуз
minecraft:pumpkin_seeds, Семена тыквы
minecraft:melon_seeds, Семена арбуза
minecraft:beef, Сырая говядина
minecraft:cooked_beef, Стейк
minecraft:chicken, Курятина
minecraft:cooked_chicken, Жареная курица
minecraft:rotten_flesh, Гнилая плоть
minecraft:ender_pearl, Эндер-жемчуг
minecraft:blaze_rod, Огненный стержень
minecraft:ghast_tear, Слеза гаста
minecraft:gold_nugget, Кусочек золота
minecraft:nether_wart, Нарост из Незера
minecraft:potion, Зелье
minecraft:glass_bottle, Пузырёк
minecraft:spider_eye, Паучий глаз
minecraft:fermented_spider_eye, Маринованный паучий глаз
minecraft:blaze_powder, Огненный порошок
minecraft:magma_cream, Сгусток магмы
minecraft:brewing_stand, Зельеварка
minecraft:cauldron, Котёл
minecraft:ender_eye, Око Эндера
minecraft:speckled_melon, Сверкающий арбуз
minecraft:spawn_egg, Яйцо призыва —
minecraft:experience_bottle, Пузырёк опыта
minecraft:fire_charge, Огненный заряд
minecraft:writable_book, Книга и перо
minecraft:written_book, Завершённая книга
minecraft:emerald, Изумруд
minecraft:item_frame, Рамка
minecraft:flower_pot, Цветочный горшок
minecraft:carrot, Морковь
minecraft:potato, Картофель
minecraft:baked_potato, Печёный картофель
minecraft:poisonous_potato, Ядовитый картофель
minecraft:map, Чистая карта
minecraft:golden_carrot, Золотая морковь
minecraft:skull:0, Череп
minecraft:skull:1, Череп визер-скелета
minecraft:skull:2, Голова зомби
minecraft:skull:3, Голова
minecraft:skull:4, Голова крипера
minecraft:skull:5, Голова дракона
minecraft:carrot_on_a_stick, Удочка с морковкой
minecraft:nether_star, Звезда из Незера
minecraft:pumpkin_pie, Тыквенный пирог
minecraft:fireworks, Фейерверк
minecraft:firework_charge, Пиротехническая звезда
minecraft:enchanted_book, Чародейская книга
minecraft:comparator, Редстоуновый компаратор
minecraft:netherbrick, Незеритовый кирпич
minecraft:quartz, Незер-кварц
minecraft:tnt_minecart, Вагонетка с динамитом
minecraft:hopper_minecart, Загрузочная вагонетка
minecraft:prismarine_shard, Осколок призмарина
minecraft:prismarine_crystals, Кристалл призмарина
minecraft:rabbit, Сырая крольчатина
minecraft:cooked_rabbit, Жареная крольчатина
minecraft:rabbit_stew, Тушёный кролик
minecraft:rabbit_foot, Кроличья лапка
minecraft:rabbit_hide, Кроличья шкурка
minecraft:armor_stand, Стойка для брони
minecraft:iron_horse_armor, Железная конская броня
minecraft:golden_horse_armor, Золотая конская броня
minecraft:diamond_horse_armor, Алмазная конская броня
minecraft:lead, Поводок
minecraft:name_tag, Бирка
minecraft:command_block_minecart, Вагонетка с командным блоком
minecraft:mutton, Сырая баранина
minecraft:cooked_mutton, Жареная баранина
minecraft:banner:15, Белый флаг
minecraft:banner:14, Оранжевый флаг
minecraft:banner:13, Пурпурный флаг
minecraft:banner:12, Голубой флаг
minecraft:banner:11, Жёлтый флаг
minecraft:banner:10, Лаймовый флаг
minecraft:banner:9, Розовый флаг
minecraft:banner:8, Серый флаг
minecraft:banner:7, Светло-серый флаг
minecraft:banner:6, Бирюзовый флаг
minecraft:banner:5, Фиолетовый флаг
minecraft:banner:4, Синий флаг
minecraft:banner:3, Коричневый флаг
minecraft:banner:2, Зелёный флаг
minecraft:banner:1, Красный флаг
minecraft:banner:0, Чёрный флаг
minecraft:end_crystal, Кристалл Энда
minecraft:spruce_door, Еловая дверь
minecraft:birch_door, Берёзовая дверь
minecraft:jungle_door, Дверь из тропического дерева
minecraft:acacia_door, Акациевая дверь
minecraft:dark_oak_door, Дверь из тёмного дуба
minecraft:chorus_fruit, Плод хоруса
minecraft:chorus_fruit_popped, Прожаренный плод хоруса
minecraft:beetroot, Свёкла
minecraft:beetroot_seeds, Семена свёклы
minecraft:beetroot_soup, Свекольный суп
minecraft:dragon_breath, Драконье дыхание
minecraft:splash_potion, Взрывное зелье
minecraft:spectral_arrow, Спектральная стрела
minecraft:tipped_arrow, Обработанная стрела
minecraft:lingering_potion, Туманное зелье
minecraft:shield, Щит
minecraft:elytra, Элитры
minecraft:spruce_boat, Еловая лодка
minecraft:birch_boat, Берёзовая лодка
minecraft:jungle_boat, Лодка из тропического дерева
minecraft:acacia_boat, Акациевая лодка
minecraft:dark_oak_boat, Лодка из тёмного дуба
minecraft:totem_of_undying, Тотем бессмертия
minecraft:shulker_shell, Панцирь шалкера
minecraft:iron_nugget, Кусочек железа
minecraft:knowledge_book, Книга знаний
minecraft:record_13, Пластинка
minecraft:record_cat, Пластинка
minecraft:record_blocks, Пластинка
minecraft:record_chirp, Пластинка
minecraft:record_far, Пластинка
minecraft:record_mall, Пластинка
minecraft:record_mellohi, Пластинка
minecraft:record_stal, Пластинка
minecraft:record_strad, Пластинка
minecraft:record_ward, Пластинка
minecraft:record_11, Пластинка
minecraft:record_wait, Пластинка
ic2:te:1, Промышленный динамит
ic2:te:2, Ядерная бомба
ic2:te:3, Генератор
ic2:te:4, Геотермальный генератор
ic2:te:5, Кинетический генератор
ic2:te:6, Радиоизотопный термоэлектрический генератор
ic2:te:7, Полужидкостный генератор
ic2:te:8, Солнечная панель
ic2:te:9, Генератор Стирлинга
ic2:te:10, Гидрогенератор
ic2:te:11, Ветрогенератор
ic2:te:12, Электрический теплогенератор
ic2:te:13, Жидкостный теплогенератор
ic2:te:14, Радиоизотопный теплогенератор
ic2:te:15, Твердотопливный теплогенератор
ic2:te:16, Электрический кинетический генератор
ic2:te:17, Ручной кинетический генератор
ic2:te:18, Кинетический парогенератор
ic2:te:19, Кинетический генератор Стирлинга
ic2:te:20, Кинетический гидрогенератор
ic2:te:21, Кинетический ветрогенератор
ic2:te:22, Ядерный реактор
ic2:te:23, Реакторный люк
ic2:te:24, Реакторная камера
ic2:te:25, Реакторный насос-порт
ic2:te:26, Реакторный проводник красного сигнала
ic2:te:27, Конденсатор пара
ic2:te:28, Разливочная машина
ic2:te:29, Жидкостный распределитель
ic2:te:30, Регулятор жидкости
ic2:te:31, Жидкостный теплообменник
ic2:te:32, Помпа
ic2:te:33, Солнечный опреснитель
ic2:te:34, Парогенератор
ic2:te:35, Предметный буфер
ic2:te:36, Электролампа
ic2:te:37, Намагничиватель
ic2:te:38, Электрическая сортирующая машина
ic2:te:39, Телепорт
ic2:te:40, Терраформер
ic2:te:41, Катушка Теслы
